cancer,edin,is_tumor
ESCA,0.0123,True
STAD,0.0027,True
BRCA,0.0045,True
ESCA,0.0494,True
LAML,0.0397,True
LUAD,0.0057,True
LUSC,0.002,True
LUSC,0.0204,False
OV,0.0185,True
SKCM,0.0064,True
STAD,0.0187,True
ACC,0.0127,True
BRCA,0.0009,True
ESCA,0.0617,True
LAML,0.0331,True
LIHC,0.0027,True
LUAD,0.0038,True
LUSC,0.006,True
OV,0.0158,True
SKCM,0.0064,True
STAD,0.008,True
ESCA,0.0123,True
LAML,0.0066,True
LIHC,0.0027,True
SKCM,0.0021,True
CHOL,0.2222,False
LIHC,0.2353,True
LIHC,0.14,False
SKCM,0.0021,True
STAD,0.0027,True
CHOL,0.1111,False
LIHC,0.0267,True
LIHC,0.02,False
ESCA,0.0123,True
OV,0.0026,True
STAD,0.0027,True
LIHC,0.0027,True
LIHC,0.016,True
LIHC,0.02,False
LIHC,0.0401,True
BRCA,0.0018,True
ESCA,0.0062,True
KIRC,0.0019,True
LAML,0.0066,True
LUAD,0.0019,True
OV,0.0053,True
SKCM,0.0021,True
UCS,0.0179,True
LIHC,0.0294,True
ESCA,0.0123,True
LIHC,0.0053,True
LUAD,0.0019,True
CHOL,0.1111,False
LIHC,0.0936,True
LIHC,0.02,False
CHOL,0.2222,False
LIHC,0.2059,True
LIHC,0.04,False
ESCA,0.0062,True
OV,0.0026,True
SKCM,0.0021,True
BRCA,0.0009,True
CHOL,0.1111,False
LIHC,0.0722,True
CHOL,0.1111,False
LIHC,0.131,True
LIHC,0.04,False
ESCA,0.0309,True
LAML,0.0066,True
LIHC,0.0027,True
LUSC,0.0204,False
OV,0.0026,True
BRCA,0.0027,True
ESCA,0.0247,True
LIHC,0.0027,True
LUAD,0.0152,True
LUSC,0.0204,False
OV,0.0053,True
SKCM,0.0064,True
STAD,0.0053,True
BRCA,0.0009,True
CESC,0.0033,True
CHOL,0.4444,False
ESCA,0.0062,True
GBM,0.0119,True
LIHC,0.3743,True
LIHC,0.06,False
PCPG,0.0055,True
BRCA,0.0018,True
ESCA,0.0123,True
LIHC,0.0027,True
LUAD,0.0019,True
OV,0.0053,True
SKCM,0.0064,True
STAD,0.0027,True
BRCA,0.0009,True
ESCA,0.037,True
LUAD,0.0019,True
LUSC,0.0204,False
OV,0.0053,True
SKCM,0.0106,True
STAD,0.0027,True
BRCA,0.0027,True
ESCA,0.0185,True
LIHC,0.0107,True
LUAD,0.0038,True
LUSC,0.002,True
LUSC,0.0204,False
OV,0.0106,True
SKCM,0.0042,True
STAD,0.0053,True
UCS,0.0179,True
BRCA,0.0009,True
CHOL,0.3333,False
DLBC,0.0208,True
ESCA,0.0062,True
GBM,0.006,True
LIHC,0.3476,True
LIHC,0.1,False
BRCA,0.0009,True
CESC,0.0033,True
CHOL,0.2222,False
ESCA,0.0062,True
LIHC,0.3102,True
LIHC,0.06,False
OV,0.0026,True
SKCM,0.0021,True
BRCA,0.0036,True
ESCA,0.0062,True
GBM,0.006,True
LAML,0.0066,True
LUAD,0.0019,True
OV,0.0026,True
SKCM,0.0021,True
STAD,0.0053,True
OV,0.0026,True
BRCA,0.0045,True
DLBC,0.0208,True
ESCA,0.037,True
GBM,0.006,True
LAML,0.0066,True
LIHC,0.0027,True
LUAD,0.0038,True
LUSC,0.002,True
OV,0.0106,True
STAD,0.0027,True
BRCA,0.0018,True
ESCA,0.0062,True
LAML,0.0066,True
LUAD,0.0019,True
OV,0.0026,True
SKCM,0.0021,True
LIHC,0.0722,True
OV,0.0026,True
BRCA,0.0018,True
CHOL,0.3333,False
