cancer,edin,p50,is_tumor
ACC,3.8,0.0588,True
BLCA,3.19,0.0455,True
BLCA,5.26,0.0462,False
BRCA,4.71,0.0476,True
BRCA,1.77,0.0541,False
CESC,3.92,0.0455,True
CHOL,2.78,0.0506,True
COAD,3.2099999999999995,0.0628,True
ESCA,3.09,0.0196,True
GBM,0.6,0.0250,True
HNSC,3.4000000000000004,0.0500,True
KICH,1.54,0.0833,True
KICH,4.17,0.0833,False
KIRC,1.5,0.0488,True
KIRC,2.78,0.0625,False
KIRP,2.42,0.0833,True
KIRP,3.1199999999999997,0.0487,False
LAML,1.32,0.0362,True
LGG,1.7000000000000002,0.0466,True
LIHC,3.74,0.0769,True
LIHC,2.0,0.0909,False
LUAD,3.04,0.0557,True
LUSC,3.2099999999999995,0.0435,True
LUSC,2.04,0.0456,False
MESO,4.65,0.0501,True
OV,2.64,0.0217,True
PAAD,2.81,0.0526,True
PCPG,4.37,0.0695,True
PRAD,2.6,0.0417,True
PRAD,1.92,0.0430,False
READ,3.26,0.0635,True
SARC,1.52,0.0339,True
SKCM,2.12,0.0400,True
STAD,4.53,0.0278,True
STAD,6.25,0.0978,False
TGCT,1.28,0.0303,True
THCA,2.36,0.0466,True
UCEC,4.93,0.0526,True
UCEC,2.86,0.0398,False
ACC,16.46,0.0714,True
BLCA,41.18,0.0833,True
BLCA,31.580000000000002,0.0639,False
BRCA,55.300000000000004,0.1000,True
BRCA,31.86,0.0679,False
CESC,45.75,0.0789,True
CESC,33.33,0.1071,False
CHOL,25.0,0.0833,True
CHOL,11.110000000000001,0.2000,False
COAD,22.14,0.0769,True
COAD,24.39,0.0909,False
DLBC,50.0,0.0714,True
ESCA,81.47999999999999,0.0984,True
ESCA,45.45,0.0589,False
GBM,70.24000000000001,0.0895,True
GBM,100.0,0.1000,False
HNSC,44.0,0.0769,True
HNSC,25.0,0.0625,False
KICH,10.77,0.0909,True
KICH,20.830000000000002,0.0981,False
KIRC,43.36,0.0769,True
KIRC,26.39,0.0714,False
KIRP,22.15,0.0769,True
KIRP,28.12,0.0564,False
LAML,19.869999999999997,0.0714,True
LGG,45.94,0.0769,True
LIHC,30.209999999999997,0.1000,True
LIHC,14.000000000000002,0.1667,False
LUAD,39.660000000000004,0.0965,True
LUAD,22.03,0.0769,False
LUSC,44.89,0.0833,True
LUSC,48.980000000000004,0.0714,False
MESO,50.0,0.1000,True
OV,83.11,0.1127,True
PAAD,32.019999999999996,0.0909,True
PAAD,75.0,0.1200,False
PCPG,48.63,0.0952,True
PRAD,34.8,0.0667,True
PRAD,34.62,0.0635,False
READ,31.52,0.0870,True
READ,10.0,0.0769,False
SARC,47.15,0.0800,True
SARC,50.0,0.1044,False
SKCM,43.74,0.0741,True
SKCM,100.0,0.1429,False
STAD,66.4,0.1000,True
STAD,62.5,0.1452,False
TGCT,55.13,0.0784,True
THCA,39.879999999999995,0.0741,True
THCA,27.589999999999996,0.0667,False
THYM,57.98,0.0714,True
THYM,50.0,0.0649,False
UCEC,52.01,0.0938,True
UCEC,34.29,0.0556,False
UCS,42.86,0.0714,True
UVM,16.25,0.0625,True
ACC,12.659999999999998,0.0794,True
BLCA,48.28,0.0952,True
BLCA,31.580000000000002,0.0909,False
BRCA,50.59,0.0882,True
BRCA,20.349999999999998,0.0500,False
CESC,49.669999999999995,0.0789,True
CESC,33.33,0.0550,False
CHOL,41.67,0.1364,True
COAD,29.64,0.0769,True
COAD,19.509999999999998,0.0885,False
DLBC,45.83,0.0801,True
ESCA,92.58999999999999,0.1452,True
ESCA,27.27,0.0471,False
GBM,55.36,0.0690,True
GBM,40.0,0.0667,False
HNSC,47.199999999999996,0.0800,True
HNSC,18.18,0.0833,False
KICH,3.08,0.0882,True
KICH,29.17,0.0714,False
KIRC,43.18,0.0769,True
KIRC,27.779999999999998,0.0769,False
KIRP,27.339999999999996,0.0769,True
KIRP,40.62,0.0645,False
LAML,21.85,0.0714,True
LGG,31.759999999999998,0.0625,True
LIHC,37.97,0.1176,True
LIHC,18.0,0.1538,False
LUAD,45.35,0.0909,True
LUAD,20.34,0.0833,False
LUSC,48.699999999999996,0.0833,True
LUSC,42.86,0.0762,False
MESO,55.81,0.0955,True
OV,82.59,0.1266,True
PAAD,42.13,0.0909,True
PAAD,25.0,0.1667,False
PCPG,43.72,0.0976,True
PCPG,66.67,0.0769,False
PRAD,41.199999999999996,0.0667,True
PRAD,46.150000000000006,0.0769,False
READ,26.090000000000003,0.0714,True
READ,20.0,0.0557,False
SARC,52.09,0.0833,True
SARC,100.0,0.0702,False
SKCM,40.760000000000005,0.0741,True
SKCM,100.0,0.1667,False
STAD,72.27,0.1250,True
STAD,43.75,0.1277,False
TGCT,62.18,0.0833,True
THCA,35.17,0.0714,True
THCA,22.41,0.0588,False
THYM,52.1,0.0741,True
THYM,50.0,0.0667,False
UCEC,56.57,0.1111,True
UCEC,31.430000000000003,0.0521,False
