cancer,edin,is_tumor
ACC,1.27,True
BLCA,1.96,True
BRCA,4.26,True
BRCA,7.08,False
CESC,2.29,True
CESC,33.33,False
COAD,2.1399999999999997,True
COAD,2.44,False
ESCA,2.4699999999999998,True
GBM,5.36,True
HNSC,3.2,True
KICH,4.62,True
KICH,4.17,False
KIRC,3.36,True
KIRC,4.17,False
KIRP,3.81,True
KIRP,3.1199999999999997,False
LAML,2.65,True
LGG,14.56,True
LIHC,1.0699999999999998,True
LUAD,1.71,True
LUAD,5.08,False
LUSC,2.1999999999999997,True
LUSC,8.16,False
OV,1.06,True
PAAD,1.69,True
PCPG,4.37,True
PRAD,2.1999999999999997,True
PRAD,1.92,False
READ,1.09,True
SARC,2.6599999999999997,True
SKCM,3.82,True
STAD,2.4,True
TGCT,0.64,True
THCA,1.96,True
THCA,3.45,False
THYM,2.52,True
UCEC,0.73,True
UCS,1.79,True
UVM,2.5,True
BLCA,0.25,True
BRCA,0.09,True
BRCA,0.88,False
GBM,0.6,True
LGG,0.19,True
PCPG,0.5499999999999999,True
PRAD,0.2,True
TGCT,0.64,True
THCA,1.72,False
UCEC,0.18,True
BRCA,1.72,True
BRCA,24.779999999999998,False
COAD,0.36,True
COAD,2.44,False
OV,0.26,True
SARC,0.38,True
STAD,3.1199999999999997,False
ACC,2.53,True
BLCA,1.96,True
BRCA,27.02,True
BRCA,3.54,False
CESC,4.25,True
CHOL,5.56,True
CHOL,44.440000000000005,False
COAD,1.79,True
COAD,7.32,False
ESCA,7.41,True
ESCA,9.09,False
GBM,5.949999999999999,True
HNSC,4.0,True
HNSC,6.819999999999999,False
KICH,3.08,True
KICH,8.33,False
KIRC,8.41,True
KIRC,4.17,False
KIRP,3.11,True
KIRP,12.5,False
LGG,6.43,True
LIHC,28.34,True
LIHC,46.0,False
LUAD,16.13,True
LUAD,3.39,False
LUSC,3.61,True
LUSC,8.16,False
MESO,6.98,True
OV,9.229999999999999,True
PAAD,9.55,True
PCPG,4.37,True
PRAD,14.6,True
PRAD,11.540000000000001,False
READ,3.26,True
READ,20.0,False
SARC,6.460000000000001,True
SKCM,0.64,True
