cancer,edin
chr15_69455425-,0.906
chr15_69455425-,0.962
chr15_69455425-,0.927
chr15_69455425-,0.774
chr15_69455425-,1.000
chr15_69455425-,0.875
chr15_69455425-,0.891
chr15_69455425-,0.780
chr15_69455425-,0.905
chr15_69455425-,0.841
chr15_69455425-,0.924
chr15_69455425-,1.000
chr15_69455425-,0.954
chr15_69455425-,0.877
chr15_69455425-,0.889
chr15_69455425-,0.967
chr15_69455425-,0.941
chr15_69455425-,0.854
chr15_69455425-,0.900
chr15_69455425-,0.825
chr15_69455425-,0.935
chr15_69455425-,0.943
chr15_69455425-,1.000
chr15_69455425-,0.943
chr15_69455425-,0.917
chr15_69455425-,0.971
chr15_69455425-,0.929
chr15_69455425-,0.850
chr15_69455425-,0.939
chr15_69455425-,0.908
chr15_69455425-,0.955
chr15_69455425-,0.971
chr15_69455425-,0.936
chr15_69455425-,0.931
chr15_69455425-,0.957
chr15_69455425-,0.947
chr15_69455425-,0.960
chr15_69455425-,0.977
chr15_69455425-,0.923
chr15_69455425-,0.971
chr15_69455425-,0.880
chr15_69455425-,0.966
chr15_69455425-,0.881
chr15_69455425-,0.934
chr15_69455425-,0.923
chr15_69455425-,0.931
chr15_69455425-,0.975
chr15_69455425-,0.889
chr15_69455425-,0.897
chr15_69455425-,0.968
chr15_69455425-,0.982
chr15_69455425-,0.944
chr15_69455425-,0.968
chr15_69455425-,0.970
chr15_69455425-,1.000
chr15_69455425-,0.958
chr15_69455425-,0.839
chr15_69455425-,0.720
chr15_69455425-,0.946
chr15_69455425-,0.818
chr15_69455425-,0.857
chr15_69455425-,0.906
chr15_69455425-,0.958
chr15_69455425-,0.861
chr15_69455425-,0.962
chr15_69455425-,0.884
chr15_69455425-,0.872
chr15_69455425-,0.952
chr15_69455425-,1.000
chr15_69455425-,0.750
chr15_69455425-,0.545
chr15_69455425-,0.700
chr15_69455425-,0.900
chr15_69455425-,0.821
chr15_69455425-,0.951
chr15_69455425-,0.818
chr15_69455425-,0.800
chr15_69455425-,0.875
chr15_69455425-,0.964
chr16_31123530+,0.768
chr16_31123530+,0.652
chr16_31123530+,0.562
chr16_31123530+,0.526
chr16_31123530+,0.638
chr16_31123530+,0.492
chr16_31123530+,0.581
chr16_31123530+,0.655
chr16_31123530+,0.679
chr16_31123530+,0.562
chr16_31123530+,0.641
chr16_31123530+,0.746
chr16_31123530+,0.512
chr16_31123530+,0.662
chr16_31123530+,0.724
chr16_31123530+,0.684
chr16_31123530+,0.745
chr16_31123530+,0.632
chr16_31123530+,0.667
chr16_31123530+,0.619
chr16_31123530+,0.686
chr16_31123530+,0.500
chr16_31123530+,0.776
chr16_31123530+,0.730
chr16_31123530+,0.803
chr16_31123530+,0.720
chr16_31123530+,0.705
chr16_31123530+,0.581
chr16_31123530+,0.774
chr16_31123530+,0.524
chr16_31123530+,0.692
chr16_31123530+,0.556
chr16_31123530+,0.696
chr16_31123530+,0.700
chr16_31123530+,0.795
chr16_31123530+,0.676
chr16_31123530+,0.688
chr16_31123530+,0.750
chr16_31123530+,0.662
chr16_31123530+,0.625
chr16_31123530+,0.484
chr16_31123530+,0.655
chr16_31123530+,0.816
chr16_31123530+,0.796
chr16_31123530+,0.831
chr16_31123530+,0.625
chr16_31123530+,0.667
chr16_31123530+,0.568
chr16_31123530+,0.811
chr16_31123530+,0.721
chr16_31123530+,0.698
chr16_31123530+,0.689
chr16_31123530+,0.677
chr16_31123530+,0.821
chr16_31123530+,0.525
chr16_31123530+,0.663
chr16_31123530+,0.746
chr16_31123530+,0.562
chr16_31123530+,0.650
chr16_31123530+,0.757
chr16_31123530+,0.663
chr16_31123530+,0.824
chr16_31123530+,0.700
chr16_31123530+,0.781
chr16_31123530+,0.785
chr16_31123530+,0.755
chr16_31123530+,0.816
chr16_31123530+,0.703
chr16_31123530+,0.623
chr16_31123530+,0.820
chr16_31123530+,0.903
chr16_31123530+,0.762
chr16_31123530+,0.746
chr16_31123530+,0.610
chr16_31123530+,0.715
chr16_31123530+,0.750
chr16_31123530+,0.507
chr16_31123530+,0.793
chr16_31123530+,0.700
chr4_56460921+,0.733
chr4_56460921+,1.000
chr4_56460921+,0.780
chr4_56460921+,0.754
chr4_56460921+,0.878
chr4_56460921+,0.759
chr4_56460921+,0.743
chr4_56460921+,0.846
chr4_56460921+,0.792
chr4_56460921+,1.000
chr4_56460921+,0.665
chr4_56460921+,0.763
chr4_56460921+,0.894
chr4_56460921+,0.648
chr4_56460921+,0.946
chr4_56460921+,0.716
chr4_56460921+,0.903
chr4_56460921+,0.922
chr4_56460921+,0.900
chr4_56460921+,0.661
chr4_56460921+,0.973
chr4_56460921+,0.703
chr4_56460921+,0.659
chr4_56460921+,0.746
chr4_56460921+,0.882
chr4_56460921+,0.787
chr4_56460921+,0.912
chr4_56460921+,0.671
chr4_56460921+,0.841
chr4_56460921+,0.547
chr4_56460921+,0.818
chr4_56460921+,0.979
chr4_56460921+,0.841
chr4_56460921+,0.846
chr4_56460921+,0.755
chr4_56460921+,0.800
chr4_56460921+,0.772
chr4_56460921+,0.829
chr4_56460921+,0.786
chr4_56460921+,0.842
chr4_56460921+,0.482
chr4_56460921+,0.830
chr4_56460921+,0.924
chr4_56460921+,0.764
chr4_56460921+,0.944
chr4_56460921+,0.780
chr4_56460921+,0.805
chr4_56460921+,0.590
chr4_56460921+,0.886
chr4_56460921+,0.919
chr4_56460921+,0.685
chr4_56460921+,0.610
chr4_56460921+,0.717
chr4_56460921+,1.000
chr4_56460921+,0.716
chr4_56460921+,0.947
chr4_56460921+,0.921
chr4_56460921+,0.629
chr4_56460921+,0.790
chr4_56460921+,0.697
chr4_56460921+,0.912
chr4_56460921+,0.800
chr4_56460921+,0.816
chr4_56460921+,1.000
chr4_56460921+,0.904
chr4_56460921+,0.828
chr4_56460921+,0.750
chr4_56460921+,0.800
chr4_56460921+,0.791
chr4_56460921+,0.980
chr4_56460921+,0.865
chr4_56460921+,0.881
chr4_56460921+,0.833
chr4_56460921+,0.581
chr4_56460921+,0.907
chr4_56460921+,0.618
chr4_56460921+,0.846
chr4_56460921+,1.000
chr4_56460921+,0.918
chr5_134900509+,0.464
chr5_134900509+,0.667
chr5_134900509+,0.307
chr5_134900509+,0.327
chr5_134900509+,0.538
chr5_134900509+,0.510
chr5_134900509+,0.522
chr5_134900509+,0.459
chr5_134900509+,0.574
chr5_134900509+,0.567
chr5_134900509+,0.355
chr5_134900509+,0.576
chr5_134900509+,0.551
chr5_134900509+,0.382
chr5_134900509+,0.566
chr5_134900509+,0.542
chr5_134900509+,0.519
chr5_134900509+,0.590
chr5_134900509+,0.525
chr5_134900509+,0.358
chr5_134900509+,0.465
chr5_134900509+,0.398
chr5_134900509+,0.450
chr5_134900509+,0.583
chr5_134900509+,0.561
chr5_134900509+,0.409
chr5_134900509+,0.450
chr5_134900509+,0.500
chr5_134900509+,0.512
chr5_134900509+,0.366
chr5_134900509+,0.410
chr5_134900509+,0.581
chr5_134900509+,0.515
chr5_134900509+,0.600
chr5_134900509+,0.540
chr5_134900509+,0.275
chr5_134900509+,0.472
chr5_134900509+,0.543
chr5_134900509+,0.348
chr5_134900509+,0.622
chr5_134900509+,0.421
