cancer,edin
chr11_67682754-,0.951
chr11_67682754-,1.000
chr11_67682754-,0.980
chr11_67682754-,0.998
chr11_67682754-,0.975
chr11_67682754-,0.949
chr11_67682754-,0.972
chr11_67682754-,0.987
chr11_67682754-,0.906
chr11_67682754-,0.919
chr11_67682754-,0.974
chr11_67682754-,0.949
chr11_67682754-,0.949
chr11_67682754-,0.984
chr11_67682754-,0.903
chr11_67682754-,0.966
chr11_67682754-,0.961
chr11_67682754-,0.892
chr11_67682754-,0.967
chr11_67682754-,0.964
chr11_67682754-,0.895
chr11_67682754-,0.993
chr11_67682754-,0.982
chr11_67682754-,0.970
chr11_67682754-,0.993
chr11_67682754-,0.948
chr11_67682754-,0.967
chr11_67682754-,0.903
chr11_67682754-,0.970
chr11_67682754-,0.955
chr11_67682754-,0.940
chr11_67682754-,0.966
chr11_67682754-,0.921
chr11_67682754-,0.959
chr11_67682754-,0.921
chr11_67682754-,0.980
chr11_67682754-,0.988
chr11_67682754-,0.968
chr11_67682754-,0.953
chr11_67682754-,0.972
chr11_67682754-,0.976
chr11_67682754-,0.980
chr11_67682754-,0.989
chr11_67682754-,0.930
chr11_67682754-,0.973
chr11_67682754-,0.986
chr11_67682754-,0.975
chr11_67682754-,0.985
chr11_67682754-,0.981
chr11_67682754-,0.986
chr11_67682754-,0.988
chr11_67682754-,0.987
chr11_67682754-,0.978
chr11_67682754-,0.986
chr11_67682754-,0.978
chr11_67682754-,0.968
chr11_67682754-,0.996
chr11_67682754-,0.978
chr11_67682754-,0.989
chr11_67682754-,0.979
chr11_67682754-,0.986
chr11_67682754-,0.996
chr11_67682754-,0.978
chr11_67682754-,0.977
chr11_67682754-,0.965
chr11_67682754-,0.946
chr11_67682754-,0.971
chr11_67682754-,0.974
chr11_67682754-,0.986
chr11_67682754-,0.956
chr11_67682754-,0.994
chr11_67682754-,0.930
chr11_67682754-,0.991
chr11_67682754-,0.960
chr11_67682754-,0.971
chr11_67682754-,0.970
chr11_67682754-,0.972
chr11_67682754-,0.988
chr11_67682754-,0.976
chr11_67682754-,0.991
chr11_67682754-,0.991
chr11_67682754-,0.981
chr11_67682754-,0.954
chr11_67682754-,0.993
chr11_67682754-,0.978
chr11_67682754-,0.950
chr11_67682754-,0.930
chr11_67682754-,0.954
chr11_67682754-,0.960
chr11_67682754-,0.924
chr11_67682754-,0.941
chr11_67682754-,0.974
chr11_67682754-,0.964
chr11_67682754-,0.984
chr11_67682754-,0.855
chr11_67682754-,0.953
chr11_67682754-,0.969
chr11_67682754-,0.973
chr11_67682754-,0.868
chr11_67682754-,0.970
chr11_67682754-,0.947
chr11_67682754-,0.954
chr11_67682754-,0.932
chr11_67682754-,0.929
chr11_67682754-,0.944
chr11_67682754-,0.943
chr11_67682754-,0.952
chr11_67682754-,0.913
chr11_67682754-,0.913
chr11_67682754-,0.953
chr11_67682754-,0.932
chr11_67682754-,0.991
chr11_67682754-,0.970
chr11_67682754-,0.969
chr11_67682754-,0.954
chr11_67682754-,0.982
chr11_67682754-,0.993
chr11_67682754-,0.912
chr11_67682754-,0.927
chr11_67682754-,0.960
chr11_67682754-,0.862
chr11_67682754-,0.997
chr11_67682754-,0.971
chr11_67682754-,0.971
chr11_67682754-,0.981
chr11_67682754-,0.971
chr11_67682754-,0.962
chr11_67682754-,0.960
chr11_67682754-,0.968
chr11_67682754-,0.959
