site,cancer,edited,p50
9,3,0.0009066183136899365,0.0625
9,4,0.0032679738562091504,0.2222
9,6,0.1,0.1381
9,8,0.006172839506172839,0.0909
9,12,0.001869158878504673,0.4000
9,13,0.0034602076124567475,0.3077
9,17,0.0056925996204933585,0.1538
9,21,0.011235955056179775,0.1435
9,24,0.17391304347826086,0.1519
9,25,0.0038022813688212928,0.5000
9,27,0.024,0.1429
9,28,0.00641025641025641,0.3333
5,1,0.06329113924050633,0.0955
5,2,0.0392156862745098,0.0625
5,3,0.043517679057116954,0.0667
5,4,0.029411764705882353,0.0714
5,5,0.08333333333333333,0.0635
5,6,0.007142857142857143,0.0885
5,7,0.041666666666666664,0.0813
5,8,0.13580246913580246,0.0741
5,9,0.023809523809523808,0.0526
5,10,0.026,0.0714
5,11,0.0,0.0250
5,12,0.018691588785046728,0.0909
5,13,0.020761245674740483,0.0833
5,15,0.024574669187145556,0.0500
5,16,0.0374331550802139,0.0801
5,17,0.009487666034155597,0.0588
5,18,0.03206412825651302,0.0833
5,19,0.011627906976744186,0.0572
5,20,0.11345646437994723,0.0667
5,21,0.016853932584269662,0.0767
5,22,0.09289617486338798,0.0691
5,23,0.038,0.0556
5,24,0.010869565217391304,0.0455
5,25,0.026615969581749048,0.0625
5,26,0.021231422505307854,0.0833
5,27,0.04,0.0625
5,28,0.057692307692307696,0.0393
5,29,0.0550098231827112,0.0500
5,30,0.025210084033613446,0.0345
5,31,0.051094890510948905,0.0667
5,32,0.03571428571428571,0.0909
1,1,0.8860759493670886,0.3722
1,2,0.8970588235294118,0.2952
1,3,0.9465095194922938,0.3448
1,4,0.8594771241830066,0.3500
1,5,0.9166666666666666,0.2398
1,6,0.9285714285714286,0.3333
1,7,0.8541666666666666,0.3529
1,8,0.6481481481481481,0.4000
1,9,0.5357142857142857,0.4286
1,10,0.924,0.3333
1,11,0.9230769230769231,0.2353
1,12,0.822429906542056,0.2857
1,13,0.8442906574394463,0.2667
1,14,0.2913907284768212,0.2566
1,15,0.947069943289225,0.3333
1,16,0.5588235294117647,0.3077
1,17,0.8994307400379506,0.3103
1,18,0.905811623246493,0.3158
1,19,0.9069767441860465,0.3333
1,20,0.7467018469656992,0.4167
1,21,0.949438202247191,0.3200
1,22,0.8087431693989071,0.4118
1,23,0.942,0.3077
1,24,0.8804347826086957,0.3158
1,25,0.935361216730038,0.4105
1,26,0.9532908704883227,0.3400
1,27,0.68,0.3810
1,28,0.8846153846153846,0.3413
1,29,0.9489194499017681,0.3171
1,30,0.8487394957983193,0.2444
1,31,0.48722627737226276,0.3560
1,32,0.9821428571428571,0.3882
1,33,0.775,0.3000
8,2,0.004901960784313725,0.0943
8,3,0.006346328195829556,0.1000
8,4,0.0196078431372549,0.1000
8,8,0.012345679012345678,0.0812
8,9,0.03571428571428571,0.0976
8,10,0.002,0.0769
8,11,0.09230769230769231,0.0788
8,12,0.013084112149532711,0.0909
8,13,0.006920415224913495,0.1222
8,15,0.005671077504725898,0.1000
8,17,0.0018975332068311196,0.0667
8,18,0.006012024048096192,0.1333
8,19,0.011627906976744186,0.0909
8,20,0.002638522427440633,0.3000
8,22,0.00546448087431694,0.2353
8,23,0.004,0.1954
8,25,0.0076045627376425855,0.0955
8,26,0.01910828025477707,0.0909
8,27,0.024,0.0769
8,28,0.019230769230769232,0.1429
8,29,0.015717092337917484,0.0909
8,30,0.03361344537815126,0.1000
8,31,0.0036496350364963502,0.1167
2,1,0.06329113924050633,0.0714
2,2,0.18627450980392157,0.0625
2,3,0.41523118766999095,0.0625
2,4,0.1568627450980392,0.0588
2,5,0.3611111111111111,0.0769
2,6,0.18571428571428572,0.0435
2,7,0.125,0.0670
2,8,0.2962962962962963,0.0619
2,9,0.19047619047619047,0.0635
2,10,0.118,0.0769
2,11,0.12307692307692308,0.0567
2,12,0.2485981308411215,0.0852
2,13,0.07612456747404844,0.0667
2,14,0.18543046357615894,0.0909
2,15,0.16446124763705103,0.0833
2,16,0.08288770053475936,0.0909
2,17,0.2808349146110057,0.0769
2,18,0.23647294589178355,0.0667
2,19,0.22093023255813954,0.0714
2,20,0.2955145118733509,0.0588
2,21,0.25842696629213485,0.0691
2,22,0.31693989071038253,0.0955
2,23,0.298,0.0588
2,24,0.1956521739130435,0.0478
2,25,0.09885931558935361,0.0769
2,26,0.27176220806794055,0.0769
2,27,0.256,0.0483
2,28,0.26282051282051283,0.0588
2,29,0.25343811394891946,0.0714
2,30,0.17647058823529413,0.0714
2,31,0.18065693430656934,0.0714
2,32,0.10714285714285714,0.0500
2,33,0.075,0.0667
4,2,0.007352941176470588,0.0833
4,3,0.027198549410698096,0.1818
4,4,0.06862745098039216,0.1056
4,8,0.043209876543209874,0.1043
4,9,0.05952380952380952,0.2250
4,10,0.012,0.1000
4,12,0.007476635514018692,0.2318
4,13,0.10380622837370242,0.0909
4,15,0.24763705103969755,0.1818
4,16,0.008021390374331552,0.2143
4,17,0.0018975332068311196,0.1667
4,18,0.002004008016032064,0.1000
4,20,0.023746701846965697,0.2500
4,21,0.011235955056179775,0.1609
4,22,0.12568306010928962,0.2143
4,23,0.006,0.1000
4,24,0.010869565217391304,0.0833
4,25,0.022813688212927757,0.0955
4,26,0.008492569002123142,0.2333
4,27,0.04,0.1000
4,29,0.17288801571709234,0.1333
4,30,0.01680672268907563,0.1000
4,32,0.017857142857142856,0.1538
6,1,0.012658227848101266,0.0769
6,3,0.007252946509519492,0.0714
6,4,0.00980392156862745,0.0833
6,5,0.05555555555555555,0.0714
6,6,0.0035714285714285713,0.0644
6,8,0.006172839506172839,0.1250
6,9,0.07738095238095238,0.0769
6,11,0.0,0.0065
6,12,0.001869158878504673,0.0048
6,13,0.01730103806228374,0.0067
6,15,0.16824196597353497,0.0645
6,16,0.008021390374331552,0.0635
6,17,0.0056925996204933585,0.1000
6,18,0.006012024048096192,0.1176
6,20,0.002638522427440633,0.1000
6,21,0.02247191011235955,0.0711
6,22,0.1092896174863388,0.0404
6,23,0.006,0.0800
6,24,0.0,0.0435
6,25,0.0076045627376425855,0.0670
6,26,0.0021231422505307855,0.0769
6,27,0.0,0.0227
6,28,0.038461538461538464,0.0801
6,29,0.0412573673870334,0.0769
6,30,0.01680672268907563,0.0857
6,31,0.0072992700729927005,0.0606
6,32,0.03571428571428571,0.2500
3,1,0.0,0.0385
3,2,0.00980392156862745,0.0899
3,3,0.022665457842248413,0.0588
3,4,0.0032679738562091504,0.0312
3,6,0.039285714285714285,0.0207
3,8,0.06172839506172839,0.0238
3,10,0.012,0.0544
