site,cancer,edited,p50,tn
11,1,0.16455696202531644,0.0714,True
11,2,0.4117647058823529,0.0833,True
12,2,0.3157894736842105,0.0639,False
11,3,0.5530371713508613,0.1000,True
12,3,0.3185840707964602,0.0679,False
11,4,0.45751633986928103,0.0789,True
12,4,0.3333333333333333,0.1071,False
11,5,0.25,0.0833,True
12,5,0.1111111111111111,0.2000,False
11,6,0.22142857142857142,0.0769,True
12,6,0.24390243902439024,0.0909,False
11,7,0.5,0.0714,True
11,8,0.8148148148148148,0.0984,True
12,8,0.45454545454545453,0.0589,False
11,9,0.7023809523809523,0.0895,True
12,9,1.0,0.1000,False
11,10,0.44,0.0769,True
12,10,0.25,0.0625,False
11,11,0.1076923076923077,0.0909,True
12,11,0.20833333333333334,0.0981,False
11,12,0.4336448598130841,0.0769,True
12,12,0.2638888888888889,0.0714,False
11,13,0.22145328719723184,0.0769,True
12,13,0.28125,0.0564,False
11,14,0.1986754966887417,0.0714,True
11,15,0.45935727788279773,0.0769,True
11,16,0.30213903743315507,0.1000,True
12,16,0.14,0.1667,False
11,17,0.396584440227704,0.0965,True
12,17,0.22033898305084745,0.0769,False
11,18,0.44889779559118237,0.0833,True
12,18,0.4897959183673469,0.0714,False
11,19,0.5,0.1000,True
11,20,0.8311345646437994,0.1127,True
11,21,0.3202247191011236,0.0909,True
12,21,0.75,0.1200,False
11,22,0.48633879781420764,0.0952,True
11,23,0.348,0.0667,True
12,23,0.34615384615384615,0.0635,False
11,24,0.31521739130434784,0.0870,True
12,24,0.1,0.0769,False
11,25,0.4714828897338403,0.0800,True
12,25,0.5,0.1044,False
11,26,0.43736730360934184,0.0741,True
12,26,1.0,0.1429,False
11,27,0.664,0.1000,True
12,27,0.625,0.1452,False
11,28,0.5512820512820513,0.0784,True
11,29,0.3988212180746562,0.0741,True
12,29,0.27586206896551724,0.0667,False
11,30,0.5798319327731093,0.0714,True
12,30,0.5,0.0649,False
11,31,0.5200729927007299,0.0938,True
12,31,0.34285714285714286,0.0556,False
11,32,0.42857142857142855,0.0714,True
11,33,0.1625,0.0625,True
9,1,0.12658227848101267,0.0794,True
9,2,0.48284313725490197,0.0952,True
10,2,0.3157894736842105,0.0909,False
9,3,0.5058930190389845,0.0882,True
10,3,0.20353982300884957,0.0500,False
9,4,0.49673202614379086,0.0789,True
10,4,0.3333333333333333,0.0550,False
9,5,0.4166666666666667,0.1364,True
9,6,0.29642857142857143,0.0769,True
10,6,0.1951219512195122,0.0885,False
9,7,0.4583333333333333,0.0801,True
9,8,0.9259259259259259,0.1452,True
10,8,0.2727272727272727,0.0471,False
9,9,0.5535714285714286,0.0690,True
10,9,0.4,0.0667,False
9,10,0.472,0.0800,True
10,10,0.18181818181818182,0.0833,False
9,11,0.03076923076923077,0.0882,True
10,11,0.2916666666666667,0.0714,False
9,12,0.43177570093457945,0.0769,True
10,12,0.2777777777777778,0.0769,False
9,13,0.27335640138408307,0.0769,True
10,13,0.40625,0.0645,False
9,14,0.2185430463576159,0.0714,True
9,15,0.31758034026465026,0.0625,True
9,16,0.37967914438502676,0.1176,True
10,16,0.18,0.1538,False
9,17,0.45351043643263755,0.0909,True
10,17,0.2033898305084746,0.0833,False
9,18,0.48697394789579157,0.0833,True
10,18,0.42857142857142855,0.0762,False
9,19,0.5581395348837209,0.0955,True
9,20,0.8258575197889182,0.1266,True
9,21,0.42134831460674155,0.0909,True
10,21,0.25,0.1667,False
9,22,0.4371584699453552,0.0976,True
10,22,0.6666666666666666,0.0769,False
9,23,0.412,0.0667,True
10,23,0.46153846153846156,0.0769,False
9,24,0.2608695652173913,0.0714,True
10,24,0.2,0.0557,False
9,25,0.5209125475285171,0.0833,True
10,25,1.0,0.0702,False
9,26,0.40764331210191085,0.0741,True
10,26,1.0,0.1667,False
9,27,0.7226666666666667,0.1250,True
10,27,0.4375,0.1277,False
9,28,0.6217948717948718,0.0833,True
9,29,0.3516699410609037,0.0714,True
10,29,0.22413793103448276,0.0588,False
9,30,0.5210084033613446,0.0741,True
10,30,0.5,0.0667,False
9,31,0.5656934306569343,0.1111,True
10,31,0.3142857142857143,0.0521,False
9,32,0.6428571428571429,0.0833,True
9,33,0.25,0.0588,True
5,1,0.379746835443038,0.0920,True
5,2,0.5931372549019608,0.1000,True
6,2,0.5789473684210527,0.1310,False
5,3,0.6781504986400725,0.1081,True
6,3,0.6194690265486725,0.0909,False
5,4,0.6241830065359477,0.0833,True
6,4,1.0,0.2059,False
5,5,0.6388888888888888,0.0976,True
6,5,0.2222222222222222,0.2000,False
5,6,0.43214285714285716,0.0833,True
6,6,0.3170731707317073,0.0769,False
5,7,0.6875,0.0870,True
5,8,0.8333333333333334,0.1333,True
6,8,0.5454545454545454,0.0909,False
5,9,0.7023809523809523,0.1000,True
6,9,0.8,0.1333,False
5,10,0.562,0.0920,True
6,10,0.29545454545454547,0.0714,False
5,11,0.2,0.0990,True
6,11,0.5833333333333334,0.1000,False
5,12,0.6411214953271028,0.1053,True
6,12,0.5972222222222222,0.0870,False
5,13,0.4290657439446367,0.0968,True
6,13,0.46875,0.0667,False
5,14,0.2913907284768212,0.0784,True
5,15,0.6351606805293005,0.0833,True
5,16,0.5267379679144385,0.1429,True
6,16,0.22,0.1000,False
5,17,0.6261859582542695,0.1081,True
6,17,0.559322033898305,0.0909,False
5,18,0.561122244488978,0.0930,True
6,18,0.6122448979591837,0.1000,False
5,19,0.8023255813953488,0.1429,True
5,20,0.841688654353562,0.1364,True
5,21,0.5786516853932584,0.1111,True
6,21,1.0,0.1223,False
5,22,0.73224043715847,0.1342,True
6,22,1.0,0.0667,False
5,23,0.614,0.0882,True
6,23,0.6923076923076923,0.1053,False
5,24,0.40217391304347827,0.0833,True
6,24,0.4,0.0909,False
5,25,0.7338403041825095,0.1111,True
6,25,1.0,0.2040,False
5,26,0.6390658174097664,0.0909,True
6,26,1.0,0.0769,False
5,27,0.7546666666666667,0.1372,True
6,27,0.5,0.1213,False
5,28,0.7243589743589743,0.1000,True
5,29,0.5343811394891945,0.0833,True
6,29,0.4827586206896552,0.0646,False
5,30,0.6554621848739496,0.0769,True
5,31,0.541970802919708,0.1111,True
6,31,0.7142857142857143,0.0952,False
5,32,0.6964285714285714,0.1084,True
5,33,0.5,0.0895,True
1,1,0.569620253164557,0.1515,True
1,2,0.8235294117647058,0.1333,True
2,2,0.8947368421052632,0.1000,False
1,3,0.8495013599274706,0.1515,True
2,3,0.6902654867256637,0.0852,False
1,4,0.8562091503267973,0.1351,True
2,4,1.0,0.1562,False
1,5,0.8611111111111112,0.1500,True
2,5,0.3333333333333333,0.1818,False
1,6,0.6857142857142857,0.1277,True
2,6,0.5365853658536586,0.1088,False
1,7,0.9583333333333334,0.1644,True
1,8,0.9691358024691358,0.1899,True
2,8,0.6363636363636364,0.1017,False
1,9,0.8869047619047619,0.1798,True
2,9,1.0,0.1818,False
1,10,0.844,0.1389,True
2,10,0.75,0.0976,False
1,11,0.5692307692307692,0.1429,True
2,11,0.7083333333333334,0.1603,False
1,12,0.7476635514018691,0.1293,True
2,12,0.75,0.1202,False
1,13,0.7231833910034602,0.1293,True
2,13,0.90625,0.1133,False
1,14,0.46357615894039733,0.1053,True
1,15,0.8676748582230623,0.1364,True
1,16,0.6122994652406417,0.1538,True
2,16,0.42,0.1875,False
1,17,0.7628083491461101,0.1429,True
2,17,0.5932203389830508,0.1250,False
1,18,0.845691382765531,0.1458,True
2,18,0.8367346938775511,0.1200,False
1,19,0.8372093023255814,0.1667,True
1,20,0.9313984168865436,0.1905,True
1,21,0.7247191011235955,0.1429,True
2,21,1.0,0.1715,False
1,22,0.7486338797814208,0.1559,True
2,22,0.6666666666666666,0.0526,False
1,23,0.846,0.1429,True
2,23,0.7884615384615384,0.1277,False
1,24,0.6847826086956522,0.1297,True
2,24,0.6,0.1334,False
1,25,0.8783269961977186,0.1622,True
2,25,0.5,0.0845,False
1,26,0.8428874734607219,0.1372,True
2,26,1.0,0.2424,False
1,27,0.8133333333333334,0.1739,True
2,27,0.59375,0.1918,False
1,28,0.9038461538461539,0.1212,True
1,29,0.7583497053045186,0.1290,True
2,29,0.6379310344827587,0.1127,False
1,30,0.8991596638655462,0.1342,True
2,30,1.0,0.1124,False
1,31,0.635036496350365,0.1727,True
2,31,0.8857142857142857,0.1935,False
1,32,0.9285714285714286,0.1481,True
1,33,0.7125,0.1250,True
7,1,0.26582278481012656,0.0909,True
7,2,0.47549019607843135,0.0909,True
8,2,0.3684210526315789,0.0635,False
7,3,0.5784224841341795,0.1053,True
8,3,0.39823008849557523,0.0909,False
7,4,0.5588235294117647,0.0870,True
7,5,0.2777777777777778,0.0909,True
7,6,0.3,0.0833,True
8,6,0.2682926829268293,0.1000,False
7,7,0.4375,0.0667,True
7,8,0.7160493827160493,0.0833,True
8,8,0.5454545454545454,0.0728,False
7,9,0.5714285714285714,0.0949,True
8,9,1.0,0.0625,False
7,10,0.532,0.1000,True
8,10,0.36363636363636365,0.0728,False
7,11,0.12307692307692308,0.0833,True
8,11,0.3333333333333333,0.1270,False
7,12,0.4616822429906542,0.0895,True
8,12,0.3611111111111111,0.0852,False
7,13,0.22145328719723184,0.0909,True
8,13,0.40625,0.0769,False
7,14,0.25165562913907286,0.0870,True
7,15,0.6068052930056711,0.1053,True
7,16,0.24598930481283424,0.1000,True
8,16,0.04,0.1294,False
7,17,0.4819734345351044,0.1000,True
8,17,0.2711864406779661,0.0909,False
7,18,0.48897795591182364,0.0909,True
8,18,0.42857142857142855,0.0833,False
7,19,0.47674418604651164,0.1000,True
7,20,0.762532981530343,0.1019,True
7,21,0.3202247191011236,0.1000,True
8,21,0.25,0.1006,False
7,22,0.47540983606557374,0.1000,True
8,22,0.3333333333333333,0.1667,False
7,23,0.48,0.0909,True
8,23,0.5,0.0952,False
7,24,0.2826086956521739,0.1000,True
8,24,0.1,0.0833,False
7,25,0.5931558935361216,0.1053,True
8,25,0.5,0.1304,False
7,26,0.5286624203821656,0.0909,True
8,26,1.0,0.1053,False
7,27,0.6773333333333333,0.0922,True
8,27,0.53125,0.0645,False
7,28,0.5448717948717948,0.0895,True
7,29,0.5088408644400786,0.0952,True
8,29,0.3103448275862069,0.0628,False
7,30,0.6050420168067226,0.0822,True
8,30,0.5,0.1622,False
7,31,0.43795620437956206,0.1053,True
8,31,0.6,0.1319,False
7,32,0.6964285714285714,0.1290,True
7,33,0.375,0.1000,True
15,1,0.4050632911392405,0.0769,True
15,2,0.35294117647058826,0.0564,True
16,2,0.3157894736842105,0.0571,False
15,3,0.4242973708068903,0.0629,True
16,3,0.2920353982300885,0.0500,False
15,4,0.4084967320261438,0.0556,True
16,4,0.6666666666666666,0.0601,False
15,5,0.2777777777777778,0.0588,True
16,5,0.2222222222222222,0.0749,False
15,6,0.3,0.0625,True
16,6,0.21951219512195122,0.0667,False
15,7,0.3958333333333333,0.0556,True
15,8,0.5493827160493827,0.0642,True
16,8,0.2727272727272727,0.0417,False
15,9,0.5297619047619048,0.0741,True
16,9,0.8,0.0938,False
15,10,0.444,0.0625,True
16,10,0.3409090909090909,0.0556,False
15,11,0.3076923076923077,0.0742,True
16,11,0.3333333333333333,0.0667,False
15,12,0.31401869158878504,0.0588,True
16,12,0.2777777777777778,0.0536,False
15,13,0.328719723183391,0.0667,True
16,13,0.25,0.0455,False
15,14,0.2847682119205298,0.0714,True
15,15,0.43856332703213613,0.0625,True
15,16,0.29411764705882354,0.0741,True
16,16,0.18,0.0909,False
15,17,0.3719165085388994,0.0600,True
16,17,0.1694915254237288,0.0628,False
15,18,0.38877755511022044,0.0556,True
16,18,0.1836734693877551,0.0393,False
15,19,0.37209302325581395,0.0616,True
15,20,0.6226912928759895,0.0756,True
15,21,0.42134831460674155,0.0714,True
16,21,0.5,0.0667,False
15,22,0.3770491803278688,0.0645,True
16,22,0.3333333333333333,0.0541,False
15,23,0.358,0.0588,True
16,23,0.38461538461538464,0.0588,False
15,24,0.30434782608695654,0.0714,True
16,24,0.3,0.0774,False
15,25,0.5285171102661597,0.0667,True
16,25,0.5,0.0465,False
15,26,0.39490445859872614,0.0571,True
15,27,0.4693333333333333,0.0645,True
16,27,0.28125,0.0561,False
15,28,0.3141025641025641,0.0459,True
15,29,0.4302554027504912,0.0625,True
16,29,0.3793103448275862,0.0625,False
15,30,0.42857142857142855,0.0534,True
15,31,0.3686131386861314,0.0833,True
16,31,0.4857142857142857,0.0667,False
15,32,0.39285714285714285,0.0488,True
15,33,0.3,0.0556,True
3,1,0.3924050632911392,0.1111,True
3,2,0.6715686274509803,0.1042,True
4,2,0.5263157894736842,0.0588,False
3,3,0.7280145058930191,0.1071,True
4,3,0.5929203539823009,0.0800,False
3,4,0.7058823529411765,0.0952,True
4,4,0.6666666666666666,0.1026,False
3,5,0.5277777777777778,0.0895,True
4,5,0.3333333333333333,0.1000,False
3,6,0.5571428571428572,0.0909,True
4,6,0.43902439024390244,0.0909,False
3,7,0.6458333333333334,0.0976,True
3,8,0.8950617283950617,0.1429,True
