site,cancer,edited,p50
6,3,0.0009066183136899365,0.0769
6,8,0.012345679012345678,0.1294
6,27,0.0026666666666666666,0.4167
5,2,0.004901960784313725,0.1154
5,3,0.010879419764279238,0.1000
5,9,0.011904761904761904,0.0955
5,12,0.001869158878504673,0.1000
5,13,0.006920415224913495,0.0833
5,15,0.001890359168241966,0.0833
5,17,0.0018975332068311196,0.0714
5,20,0.021108179419525065,0.0646
5,23,0.006,0.0628
5,25,0.0038022813688212928,0.0909
5,26,0.0021231422505307855,0.1000
5,28,0.03205128205128205,0.0526
5,29,0.011787819253438114,0.0839
5,30,0.01680672268907563,0.1455
5,31,0.0018248175182481751,0.1538
5,32,0.017857142857142856,0.0693
2,1,0.2911392405063291,0.0507
2,2,0.11274509803921569,0.0606
2,3,0.26201269265639165,0.0507
2,4,0.17647058823529413,0.0714
2,5,0.1111111111111111,0.0575
2,6,0.11785714285714285,0.0667
2,7,0.1875,0.0833
2,8,0.30864197530864196,0.0588
2,9,0.3630952380952381,0.0508
2,10,0.15,0.0769
2,11,0.07692307692307693,0.0333
2,12,0.29158878504672897,0.0606
2,13,0.12802768166089964,0.0476
2,14,0.013245033112582781,0.0871
2,15,0.3667296786389414,0.0435
2,16,0.05080213903743316,0.0769
2,17,0.21631878557874762,0.0645
2,18,0.1903807615230461,0.0667
2,19,0.2441860465116279,0.0714
2,20,0.21108179419525067,0.0625
2,21,0.24157303370786518,0.0588
2,22,0.5027322404371585,0.0585
2,23,0.166,0.0500
2,24,0.16304347826086957,0.0625
2,25,0.20532319391634982,0.0714
2,26,0.1740976645435244,0.0455
2,27,0.17333333333333334,0.0667
2,28,0.16025641025641027,0.0435
2,29,0.22396856581532418,0.0500
2,30,0.13445378151260504,0.0441
2,31,0.07116788321167883,0.0742
2,32,0.07142857142857142,0.0444
2,33,0.1125,0.0833
8,2,0.0,0.0122
8,3,0.0,0.0099
8,4,0.0,0.0167
8,6,0.0,0.0081
8,8,0.0,0.0042
8,9,0.0,0.0102
8,10,0.0,0.0133
8,11,0.0,0.0156
8,12,0.0,0.0088
8,14,0.0,0.0182
8,15,0.0,0.0065
8,16,0.0,0.0179
8,17,0.0,0.0103
8,18,0.0,0.0084
8,19,0.0,0.0333
8,20,0.0,0.0037
8,21,0.0,0.0203
8,22,0.0,0.0151
8,23,0.0,0.0079
8,25,0.0,0.0102
8,27,0.0,0.0025
8,29,0.0,0.0090
8,31,0.0,0.0101
8,32,0.0,0.0089
1,1,0.16455696202531644,0.1270
1,2,0.11519607843137254,0.1154
1,3,0.34904805077062556,0.0938
1,4,0.14052287581699346,0.0909
1,6,0.039285714285714285,0.0857
1,7,0.10416666666666667,0.1191
1,8,0.4074074074074074,0.0755
1,9,0.35119047619047616,0.0690
1,10,0.064,0.1111
1,11,0.07692307692307693,0.0839
1,12,0.45607476635514016,0.0824
1,13,0.2179930795847751,0.0667
1,14,0.019867549668874173,0.0556
1,15,0.10964083175803403,0.0817
