site,cancer,edited,p50,tn
3,1,0.012658227848101266,0.0542,True
3,2,0.024509803921568627,0.0526,True
4,2,0.05263157894736842,0.0750,False
3,3,0.04079782411604715,0.0345,True
4,3,0.008849557522123894,0.0417,False
3,5,0.08333333333333333,0.0909,True
3,6,0.010714285714285714,0.0333,True
3,8,0.030864197530864196,0.0153,True
3,9,0.017857142857142856,0.0449,True
3,10,0.008,0.0788,True
4,11,0.08333333333333333,0.0748,False
3,12,0.03364485981308411,0.0476,True
4,12,0.05555555555555555,0.0556,False
3,13,0.04844290657439446,0.0833,True
3,14,0.006622516556291391,0.0222,True
3,15,0.043478260869565216,0.0526,True
3,16,0.00267379679144385,0.0728,True
3,17,0.04364326375711575,0.0541,True
4,17,0.01694915254237288,0.1000,False
3,18,0.022044088176352707,0.0540,True
4,18,0.04081632653061224,0.0455,False
3,19,0.023255813953488372,0.0572,True
3,20,0.021108179419525065,0.0127,True
3,21,0.033707865168539325,0.0455,True
3,22,0.1366120218579235,0.0500,True
3,23,0.022,0.0833,True
4,23,0.019230769230769232,0.0556,False
3,24,0.010869565217391304,0.0234,True
3,25,0.026615969581749048,0.0628,True
3,26,0.02335456475583864,0.0275,True
3,27,0.024,0.0133,True
3,28,0.019230769230769232,0.0917,True
3,29,0.04518664047151277,0.0526,True
4,29,0.034482758620689655,0.0778,False
3,30,0.01680672268907563,0.0769,True
3,31,0.016423357664233577,0.0625,True
3,32,0.03571428571428571,0.0447,True
7,2,0.007352941176470588,0.0833,True
7,3,0.004533091568449683,0.1000,True
7,6,0.02142857142857143,0.2000,True
7,8,0.1728395061728395,0.2500,True
8,8,0.18181818181818182,0.1803,False
7,9,0.011904761904761904,0.1813,True
7,12,0.001869158878504673,0.2667,True
7,14,0.033112582781456956,0.0852,True
7,15,0.001890359168241966,0.1818,True
7,20,0.25065963060686014,0.2000,True
7,24,0.05434782608695652,0.1935,True
7,26,0.0021231422505307855,0.0952,True
7,27,0.224,0.2353,True
8,27,0.03125,0.0588,False
7,29,0.0019646365422396855,0.0625,True
7,30,0.01680672268907563,0.3369,True
7,31,0.0072992700729927005,0.1117,True
7,32,0.017857142857142856,0.4667,True
11,2,0.0024509803921568627,0.0667,True
11,3,0.003626473254759746,0.1190,True
11,4,0.0032679738562091504,0.1000,True
11,6,0.014285714285714285,0.1250,True
11,8,0.15432098765432098,0.1111,True
12,8,0.09090909090909091,0.0588,False
11,9,0.005952380952380952,0.0551,True
11,13,0.0034602076124567475,0.2000,True
11,14,0.019867549668874173,0.0788,True
11,15,0.001890359168241966,0.0909,True
11,18,0.002004008016032064,0.1000,True
11,20,0.20316622691292877,0.1213,True
11,24,0.05434782608695652,0.1000,True
11,27,0.18933333333333333,0.1429,True
12,27,0.03125,0.1053,False
11,29,0.003929273084479371,0.3063,True
11,30,0.01680672268907563,0.2005,True
11,31,0.0036496350364963502,0.1564,True
13,3,0.0027198549410698096,0.0729,True
13,4,0.0032679738562091504,0.1000,True
13,6,0.007142857142857143,0.1288,True
13,8,0.12962962962962962,0.1340,True
14,8,0.18181818181818182,0.0917,False
13,9,0.005952380952380952,0.0842,True
13,10,0.002,0.1818,True
13,12,0.001869158878504673,0.0526,True
13,14,0.006622516556291391,0.0501,True
13,20,0.1820580474934037,0.1146,True
13,24,0.010869565217391304,0.0769,True
13,27,0.15733333333333333,0.1644,True
13,30,0.008403361344537815,0.5000,True
13,31,0.0036496350364963502,0.1051,True
13,32,0.017857142857142856,0.2500,True
1,2,0.0024509803921568627,0.1818,True
1,3,0.004533091568449683,0.2857,True
1,4,0.006535947712418301,0.2694,True
1,6,0.017857142857142856,0.4000,True
1,7,0.020833333333333332,0.0952,True
1,8,0.21604938271604937,0.4894,True
2,8,0.36363636363636365,0.2450,False
1,9,0.017857142857142856,0.2609,True
1,10,0.002,0.2727,True
1,12,0.001869158878504673,0.2381,True
1,14,0.026490066225165563,0.2613,True
1,20,0.34564643799472294,0.5000,True
1,23,0.002,0.2857,True
1,24,0.021739130434782608,0.5417,True
1,26,0.0021231422505307855,0.1765,True
1,27,0.256,0.5000,True
2,27,0.03125,0.5714,False
1,29,0.003929273084479371,0.5834,True
1,30,0.01680672268907563,0.2390,True
1,31,0.0036496350364963502,0.8438,True
1,32,0.017857142857142856,0.6667,True
5,3,0.003626473254759746,0.2031,True
5,4,0.0032679738562091504,0.0833,True
5,6,0.010714285714285714,0.3043,True
5,7,0.020833333333333332,0.0667,True
5,8,0.21604938271604937,0.2400,True
6,8,0.2727272727272727,0.1111,False
5,9,0.017857142857142856,0.2222,True
5,10,0.002,0.2000,True
5,14,0.033112582781456956,0.0769,True
6,18,0.02040816326530612,0.2000,False
5,20,0.34564643799472294,0.3333,True
5,24,0.021739130434782608,0.2905,True
5,26,0.0021231422505307855,0.2308,True
5,27,0.24,0.3333,True
6,27,0.03125,0.2273,False
5,30,0.008403361344537815,0.1724,True
5,31,0.0036496350364963502,0.3044,True
5,32,0.017857142857142856,0.5455,True
19,6,0.0035714285714285713,0.0909,True
19,8,0.09876543209876543,0.0801,True
20,8,0.18181818181818182,0.1826,False
19,9,0.011904761904761904,0.0742,True
19,12,0.001869158878504673,0.4667,True
19,20,0.12928759894459102,0.1000,True
19,27,0.10133333333333333,0.0923,True
15,3,0.0009066183136899365,0.3000,True
15,6,0.0035714285714285713,0.2727,True
15,8,0.12345679012345678,0.0833,True
16,8,0.09090909090909091,0.0584,False
15,9,0.005952380952380952,0.0833,True
15,12,0.001869158878504673,0.5294,True
15,20,0.19261213720316622,0.0909,True
15,27,0.128,0.1000,True
15,29,0.0019646365422396855,0.4375,True
15,31,0.0018248175182481751,0.0811,True
15,32,0.017857142857142856,0.2000,True
17,3,0.001813236627379873,0.0784,True
17,8,0.09876543209876543,0.1743,True
18,8,0.18181818181818182,0.0763,False
17,9,0.005952380952380952,0.3846,True
17,20,0.18469656992084432,0.1122,True
17,24,0.010869565217391304,0.1176,True
17,27,0.10666666666666667,0.1481,True
18,27,0.03125,0.1176,False
17,29,0.0019646365422396855,0.2000,True
17,31,0.0036496350364963502,0.1422,True
9,3,0.006346328195829556,0.0833,True
9,4,0.006535947712418301,0.2560,True
9,8,0.018518518518518517,0.8000,True
9,9,0.005952380952380952,0.0667,True
9,11,0.015384615384615385,0.3000,True
9,12,0.001869158878504673,0.0909,True
9,13,0.04844290657439446,0.0526,True
10,13,0.0625,0.1000,False
9,14,0.013245033112582781,0.1072,True
9,15,0.022684310018903593,0.0870,True
9,17,0.0018975332068311196,0.0714,True
9,19,0.011627906976744186,0.1579,True
