site,cancer,edited,p50,tn
7,2,0.0196078431372549,0.3875,True
7,3,0.003626473254759746,0.3431,True
8,3,0.008849557522123894,0.3571,False
7,4,0.006535947712418301,0.1667,True
7,8,0.024691358024691357,0.2500,True
7,10,0.004,0.2514,True
7,12,0.013084112149532711,0.2000,True
7,13,0.01384083044982699,0.3000,True
7,17,0.015180265654648957,0.2821,True
7,18,0.008016032064128256,0.2808,True
7,20,0.013192612137203167,0.2308,True
7,21,0.0056179775280898875,0.2000,True
7,26,0.016985138004246284,0.1743,True
7,27,0.010666666666666666,0.2792,True
7,28,0.019230769230769232,0.2308,True
7,29,0.005893909626719057,0.5000,True
7,30,0.008403361344537815,0.2727,True
8,30,0.5,0.1000,False
7,31,0.0018248175182481751,0.2000,True
13,2,0.0196078431372549,0.1043,True
13,3,0.001813236627379873,0.1593,True
14,3,0.008849557522123894,0.2143,False
13,8,0.018518518518518517,0.1000,True
13,9,0.005952380952380952,0.1000,True
13,10,0.002,0.0588,True
13,12,0.011214953271028037,0.3205,True
13,13,0.01384083044982699,0.3000,True
13,17,0.013282732447817837,0.2000,True
13,18,0.008016032064128256,0.1455,True
13,20,0.002638522427440633,0.1000,True
13,21,0.0056179775280898875,0.3000,True
13,23,0.002,0.0909,True
13,26,0.010615711252653927,0.0909,True
13,27,0.005333333333333333,0.1000,True
13,28,0.019230769230769232,0.3077,True
13,29,0.003929273084479371,0.2027,True
13,30,0.008403361344537815,0.0909,True
13,31,0.0018248175182481751,0.1000,True
5,2,0.014705882352941176,0.1709,True
5,3,0.008159564823209429,0.1000,True
6,3,0.008849557522123894,0.0952,False
5,4,0.006535947712418301,0.1409,True
5,8,0.024691358024691357,0.3000,True
5,9,0.011904761904761904,0.2197,True
5,10,0.002,0.1875,True
5,12,0.014953271028037384,0.2364,True
5,13,0.01730103806228374,0.4167,True
5,14,0.006622516556291391,0.1000,True
5,15,0.001890359168241966,0.1000,True
5,17,0.022770398481973434,0.1483,True
5,18,0.022044088176352707,0.1000,True
5,20,0.005277044854881266,0.2364,True
5,21,0.011235955056179775,0.2500,True
5,22,0.00546448087431694,0.1000,True
5,23,0.006,0.1000,True
5,25,0.0038022813688212928,0.1000,True
5,26,0.012738853503184714,0.0833,True
5,27,0.005333333333333333,0.2338,True
5,28,0.038461538461538464,0.1465,True
5,29,0.009823182711198428,0.2000,True
5,30,0.01680672268907563,0.1455,True
5,33,0.0125,0.0909,True
11,2,0.00980392156862745,0.3000,True
11,3,0.005439709882139619,0.2438,True
12,3,0.008849557522123894,0.0625,False
11,4,0.0032679738562091504,0.2000,True
11,8,0.006172839506172839,0.0769,True
11,10,0.006,0.1000,True
11,12,0.009345794392523364,0.2000,True
11,13,0.020761245674740483,0.5455,True
11,17,0.018975332068311195,0.1364,True
11,18,0.004008016032064128,0.1250,True
11,20,0.0079155672823219,0.1000,True
11,23,0.006,0.1667,True
11,25,0.0038022813688212928,0.1176,True
11,26,0.010615711252653927,0.1000,True
11,27,0.0026666666666666666,0.3000,True
11,28,0.02564102564102564,0.1821,True
11,29,0.003929273084479371,0.2151,True
11,30,0.008403361344537815,0.0909,True
11,31,0.0018248175182481751,0.0909,True
17,2,0.007352941176470588,0.0909,True
17,3,0.003626473254759746,0.1088,True
18,3,0.008849557522123894,0.0556,False
17,4,0.00980392156862745,0.1000,True
17,10,0.002,0.0833,True
17,12,0.005607476635514018,0.1000,True
17,13,0.006920415224913495,0.1818,True
17,17,0.013282732447817837,0.1000,True
17,18,0.01002004008016032,0.1818,True
17,20,0.002638522427440633,0.2000,True
17,23,0.002,0.0909,True
17,25,0.0038022813688212928,0.1333,True
17,26,0.010615711252653927,0.1538,True
17,27,0.0026666666666666666,0.0909,True
17,28,0.02564102564102564,0.0885,True
17,29,0.005893909626719057,0.2000,True
17,30,0.008403361344537815,0.1000,True
17,33,0.0125,0.0909,True
3,2,0.029411764705882353,0.1624,True
3,3,0.005439709882139619,0.1705,True
4,3,0.008849557522123894,0.3125,False
3,4,0.006535947712418301,0.3417,True
3,8,0.006172839506172839,0.5000,True
3,10,0.002,0.1765,True
3,12,0.018691588785046728,0.1603,True
3,13,0.01384083044982699,0.4000,True
3,15,0.001890359168241966,0.2000,True
3,17,0.024667931688804556,0.1771,True
3,18,0.03807615230460922,0.1818,True
4,18,0.04081632653061224,0.1417,False
3,20,0.013192612137203167,0.1000,True
3,21,0.0056179775280898875,0.1000,True
3,25,0.0076045627376425855,0.1885,True
3,26,0.016985138004246284,0.1000,True
3,27,0.005333333333333333,0.2313,True
3,28,0.04487179487179487,0.1667,True
3,29,0.009823182711198428,0.2000,True
3,30,0.01680672268907563,0.1000,True
3,31,0.0036496350364963502,0.2500,True
3,33,0.0125,0.1000,True
1,2,0.029411764705882353,0.1269,True
1,3,0.009066183136899365,0.1893,True
2,3,0.008849557522123894,0.3750,False
1,4,0.00980392156862745,0.1000,True
1,8,0.006172839506172839,0.1000,True
1,12,0.020560747663551402,0.1538,True
1,13,0.03460207612456748,0.2000,True
1,17,0.03415559772296015,0.0955,True
1,18,0.03807615230460922,0.2000,True
2,18,0.02040816326530612,0.2727,False
1,20,0.010554089709762533,0.1667,True
1,21,0.0056179775280898875,0.2000,True
1,25,0.0076045627376425855,0.3769,True
1,26,0.016985138004246284,0.0909,True
1,28,0.038461538461538464,0.1000,True
1,29,0.011787819253438114,0.1659,True
1,30,0.01680672268907563,0.1917,True
1,33,0.0125,0.2000,True
19,2,0.01715686274509804,0.4091,True
19,3,0.0027198549410698096,0.5000,True
19,9,0.005952380952380952,0.2000,True
19,12,0.009345794392523364,0.3333,True
19,17,0.0056925996204933585,0.3077,True
19,18,0.01002004008016032,0.1818,True
19,20,0.026385224274406333,0.2902,True
19,26,0.008492569002123142,0.2389,True
19,27,0.005333333333333333,0.4091,True
19,28,0.00641025641025641,0.2727,True
19,30,0.01680672268907563,0.2500,True
19,31,0.005474452554744526,0.1818,True
9,2,0.024509803921568627,0.1357,True
9,3,0.0027198549410698096,0.1818,True
9,8,0.018518518518518517,0.1818,True
9,12,0.009345794392523364,0.4000,True
9,14,0.006622516556291391,0.5000,True
9,15,0.001890359168241966,0.6000,True
9,17,0.009487666034155597,0.4000,True
9,18,0.004008016032064128,0.2000,True
9,20,0.029023746701846966,0.1818,True
9,21,0.0056179775280898875,0.5000,True
9,26,0.008492569002123142,0.5000,True
9,27,0.008,0.2727,True
9,28,0.019230769230769232,0.2000,True
9,29,0.005893909626719057,0.2143,True
9,30,0.01680672268907563,0.0857,True
9,31,0.0018248175182481751,0.4286,True
9,32,0.017857142857142856,0.4286,True
15,2,0.0196078431372549,0.1667,True
15,3,0.001813236627379873,0.1909,True
15,8,0.012345679012345678,0.0955,True
15,9,0.005952380952380952,0.1000,True
15,12,0.005607476635514018,0.2000,True
15,17,0.011385199240986717,0.1409,True
15,18,0.006012024048096192,0.1333,True
15,20,0.029023746701846966,0.1667,True
15,21,0.0056179775280898875,0.1000,True
15,26,0.006369426751592357,0.1000,True
15,27,0.0026666666666666666,0.0909,True
15,28,0.00641025641025641,0.2308,True
15,29,0.007858546168958742,0.1788,True
15,30,0.01680672268907563,0.0871,True
15,31,0.0018248175182481751,0.3333,True
15,32,0.017857142857142856,0.1538,True
